Feature,Importance
student_id_STU06548,0.0003003755031149761
student_id_STU01135,0.0002951398378074348
student_id_STU08768,0.0002915824728043701
student_id_STU02964,0.0002897015935176701
student_id_STU07002,0.0002891896253538924
student_id_STU04266,0.0002889544159453094
student_id_STU02032,0.00028830506431841907
student_id_STU05270,0.00028676435023396906
student_id_STU06098,0.00028491090057721576
student_id_STU03533,0.0002844962004774365
student_id_STU04299,0.0002837037789243774
student_id_STU01833,0.0002832590106292848
student_id_STU05972,0.00028287627563842945
student_id_STU07529,0.00028216950553087956
student_id_STU02048,0.00027941735451350813
student_id_STU08644,0.0002716313461337848
student_id_STU04741,0.00027011510776504637
student_id_STU03502,0.0002679627995819492
student_id_STU02297,0.0002679412264273822
student_id_STU00549,0.0002677245715141027
student_id_STU06488,0.00026577945736785334
student_id_STU02066,0.0002584346008441988
student_id_STU01766,0.00025042756352613977
student_id_STU05217,0.00024944077755480523
student_id_STU02534,0.0002076269792704565
student_id_STU08458,0.00020615295012221273
student_id_STU06657,0.00020164967187394605
student_id_STU04914,0.0001850320180322064
student_id_STU01706,0.00018041242404988843
student_id_STU02345,5.3931768482062e-05
student_id_STU05084,5.240252116289204e-05
student_id_STU00326,5.034707101585809e-05
student_id_STU08801,4.809230926054104e-05
student_id_STU03413,4.490613947385981e-05
student_id_STU02363,4.2891276411001496e-05
student_id_STU01607,4.272403972191384e-05
student_id_STU04124,4.218851809019969e-05
student_id_STU04836,4.218136985787764e-05
student_id_STU06252,4.181336616919648e-05
student_id_STU06896,4.123733355137872e-05
student_id_STU05098,4.063327784947393e-05
student_id_STU09385,4.012841216955966e-05
student_id_STU00425,3.95082441726247e-05
student_id_STU01181,3.9451511960172795e-05
student_id_STU08717,3.940906857838382e-05
student_id_STU02723,3.922617711583925e-05
student_id_STU01846,3.8932798633199055e-05
student_id_STU00806,3.865024633255795e-05
student_id_STU04815,3.860597191858709e-05
student_id_STU03506,3.846717185391951e-05
student_id_STU06563,3.8464149550250855e-05
student_id_STU09107,3.839559215752879e-05
student_id_STU01067,3.811146635496513e-05
student_id_STU09943,3.7956841887245383e-05
student_id_STU05703,3.7290147667392444e-05
student_id_STU04347,3.6974851670449905e-05
student_id_STU08806,3.691062817585393e-05
student_id_STU04896,3.654429157077815e-05
student_id_STU08468,3.65105332223203e-05
student_id_STU09274,3.64590065669796e-05
student_id_STU06038,3.636771784994807e-05
student_id_STU06387,3.6155014290389986e-05
student_id_STU03626,3.6147412852456674e-05
student_id_STU05024,3.611883012487781e-05
student_id_STU02625,3.5747353472207845e-05
student_id_STU05485,3.565872577276311e-05
student_id_STU05477,3.534432860142174e-05
student_id_STU00015,3.522534763335705e-05
student_id_STU02558,3.5119285173175744e-05
student_id_STU06813,3.509605795617241e-05
student_id_STU01831,3.5002369201503376e-05
student_id_STU00458,3.4976505681206177e-05
student_id_STU07838,3.4845859968461896e-05
student_id_STU03631,3.480274899593933e-05
student_id_STU03370,3.474069671351212e-05
student_id_STU00194,3.4714650603568415e-05
student_id_STU07751,3.465833692689517e-05
student_id_STU07640,3.433016164294188e-05
student_id_STU05601,3.428065162745549e-05
student_id_STU06636,3.4260032514845844e-05
student_id_STU05156,3.417712232579855e-05
student_id_STU05860,3.404559634804676e-05
student_id_STU09708,3.3487402960539285e-05
student_id_STU04638,3.32629048920253e-05
student_id_STU07780,3.309564774185907e-05
student_id_STU04349,3.3085200676122386e-05
student_id_STU01736,3.306367664634644e-05
student_id_STU03062,3.306343676561742e-05
student_id_STU06806,3.304587732689401e-05
student_id_STU07863,3.3039507737539445e-05
student_id_STU03867,3.30078523773121e-05
student_id_STU02792,3.300053680670867e-05
student_id_STU08118,3.297006653191694e-05
student_id_STU02065,3.252067749690001e-05
student_id_STU07374,3.2401193397364296e-05
student_id_STU01465,3.233584723492367e-05
student_id_STU09247,3.2168751830376704e-05
student_id_STU00641,3.208868990746682e-05
student_id_STU07677,3.204141474939428e-05
student_id_STU02394,3.191584300739892e-05
student_id_STU00268,3.187269294308118e-05
student_id_STU04745,3.178797157099401e-05
student_id_STU05201,3.1732555980450644e-05
student_id_STU06679,3.162565531143686e-05
student_id_STU00445,3.1593404862923786e-05
student_id_STU07467,3.1559931028204185e-05
student_id_STU03366,3.150665333795901e-05
